timestep,episode,reward,mean_reward
83077,538,42.0,78.12
83224,539,42.0,77.7
83264,540,21.0,77.7
83357,541,126.0,77.28
83431,542,21.0,76.44
83522,543,105.0,76.44
83621,544,42.0,75.81
83802,545,105.0,76.65
83983,546,63.0,76.65
84046,547,0.0,76.65
84075,548,21.0,75.6
84173,549,84.0,75.6
84346,550,63.0,74.76
84470,551,126.0,75.81
84520,552,21.0,75.39
84685,553,63.0,75.39
84716,554,0.0,74.76
84862,555,84.0,75.18
84934,556,21.0,74.13
85126,557,84.0,74.97
85160,558,42.0,73.92
85248,559,63.0,73.5
85354,560,42.0,72.66
85412,561,63.0,72.87
85511,562,63.0,72.24
85644,563,42.0,71.61
85817,564,126.0,72.24
85879,565,0.0,71.61
85962,566,84.0,71.61
86143,567,105.0,72.03
86436,568,168.0,72.87
86599,569,168.0,73.08
86748,570,63.0,72.66
87065,571,126.0,72.66
87254,572,63.0,73.08
87311,573,42.0,72.03
87442,574,63.0,72.24
87615,575,105.0,73.08
87756,576,63.0,73.5
87934,577,210.0,74.76
88075,578,84.0,73.5
88208,579,105.0,73.92
88421,580,147.0,74.97
88481,581,63.0,74.13
88580,582,84.0,74.13
88721,583,42.0,73.5
88934,584,168.0,74.97
89078,585,105.0,75.18
89259,586,105.0,74.97
89416,587,84.0,75.39
89591,588,21.0,75.39
89723,589,21.0,73.71
89912,590,189.0,74.97
90149,591,189.0,76.44
90282,592,21.0,76.23
90415,593,42.0,76.44
90548,594,0.0,75.81
90637,595,105.0,76.02
90666,596,21.0,75.81
90727,597,21.0,74.97
90788,598,42.0,74.34
90880,599,42.0,74.34
90931,600,42.0,74.34
91066,601,63.0,74.13
91095,602,0.0,73.5
91158,603,21.0,72.03
91219,604,42.0,71.4
91301,605,84.0,72.24
91466,606,105.0,72.45
91625,607,84.0,71.61
91766,608,105.0,71.82
91931,609,147.0,73.29
92120,610,105.0,73.71
92212,611,42.0,73.5
92311,612,42.0,73.08
92444,613,42.0,72.24
92569,614,63.0,72.03
92728,615,105.0,72.45
92933,616,105.0,73.5
93138,617,105.0,74.34
93193,618,21.0,73.5
93314,619,126.0,72.66
93381,620,21.0,72.24
93538,621,63.0,72.45
93775,622,189.0,73.71
93908,623,63.0,72.87
94057,624,105.0,73.92
94182,625,21.0,73.71
94331,626,63.0,74.34
94477,627,126.0,74.97
94642,628,84.0,75.18
94706,629,0.0,74.55
94868,630,42.0,74.13
95131,631,168.0,74.34
95218,632,42.0,74.55
95373,633,105.0,75.18
95554,634,126.0,75.18
95642,635,63.0,74.97
95716,636,42.0,74.55
95764,637,0.0,73.08
95793,638,21.0,72.87
95923,639,126.0,73.71
95978,640,42.0,73.92
96071,641,21.0,72.87
96138,642,0.0,72.66
96268,643,63.0,72.24
96417,644,105.0,72.87
96545,645,21.0,72.03
96611,646,0.0,71.4
96790,647,105.0,72.45
96939,648,84.0,73.08
97224,649,126.0,73.5
97373,650,63.0,73.5
97517,651,126.0,73.5
97658,652,63.0,73.92
97823,653,42.0,73.71
98004,654,147.0,75.18
98182,655,147.0,75.81
98254,656,42.0,76.02
98283,657,0.0,75.18
98389,658,21.0,74.97
98537,659,63.0,74.97
98670,660,105.0,75.6
98843,661,84.0,75.81
98992,662,105.0,76.23
99171,663,147.0,77.28
99312,664,63.0,76.65
99493,665,105.0,77.7
99556,666,63.0,77.49
99686,667,105.0,77.49
99827,668,84.0,76.65
100134,669,210.0,77.07
100275,670,63.0,77.07
100456,671,147.0,77.28
100528,672,42.0,77.07
100872,673,294.0,79.59
101005,674,21.0,79.17
101170,675,105.0,79.17
101367,676,42.0,78.96
101549,677,147.0,78.33
101762,678,105.0,78.54
101943,679,147.0,78.96
102132,680,63.0,78.12
102321,681,168.0,79.17
102350,682,21.0,78.54
102417,683,21.0,78.33
102542,684,126.0,77.91
102598,685,42.0,77.28
102705,686,105.0,77.28
102870,687,84.0,77.28
103011,688,63.0,77.7
103140,689,84.0,78.33
103297,690,105.0,77.49
103352,691,0.0,75.6
103413,692,0.0,75.39
103474,693,0.0,74.97
103567,694,63.0,75.6
103601,695,21.0,74.76
103785,696,84.0,75.39
103934,697,147.0,76.65
104115,698,63.0,76.86
104304,699,105.0,77.49
104407,700,0.0,77.07
104552,701,105.0,77.49
104623,702,42.0,77.91
104778,703,84.0,78.54
104905,704,105.0,79.17
105230,705,210.0,80.43
105427,706,42.0,79.8
105499,707,0.0,78.96
105597,708,0.0,77.91
105654,709,42.0,76.86
105737,710,42.0,76.23
105926,711,105.0,76.86
106107,712,84.0,77.28
106167,713,21.0,77.07
106266,714,105.0,77.49
106463,715,189.0,78.33
106588,716,21.0,77.49
106677,717,105.0,77.49
106792,718,63.0,77.91
106917,719,0.0,76.65
107085,720,126.0,77.7
107261,721,147.0,78.54
107450,722,105.0,77.7
107591,723,147.0,78.54
107647,724,21.0,77.7
107737,725,42.0,77.91
107804,726,21.0,77.49
107859,727,21.0,76.44
107958,728,63.0,76.23
108165,729,147.0,77.7
108290,730,42.0,77.7
108425,731,84.0,76.86
108484,732,21.0,76.65
108648,733,147.0,77.07
108821,734,42.0,76.23
108946,735,0.0,75.6
109071,736,0.0,75.18
109284,737,126.0,76.44
109348,738,42.0,76.65
109502,739,63.0,76.02
109699,740,63.0,76.23
109755,741,42.0,76.44
109845,742,42.0,76.86
110160,743,231.0,78.54
110285,744,63.0,78.12
110426,745,42.0,78.33
110615,746,126.0,79.59
110763,747,84.0,79.38
110867,748,0.0,78.54
111013,749,84.0,78.12
111194,750,168.0,79.17
111328,751,21.0,78.12
111453,752,42.0,77.91
111596,753,126.0,78.75
111727,754,0.0,77.28
111873,755,126.0,77.07
112022,756,84.0,77.49
112101,757,0.0,77.49
112224,758,42.0,77.7
112384,759,105.0,78.12
112517,760,63.0,77.7
112714,761,63.0,77.49
112818,762,84.0,77.28
112949,763,105.0,76.86
112973,764,0.0,76.23
113199,765,84.0,76.02
113404,766,126.0,76.65
113591,767,105.0,76.65
113844,768,189.0,77.7
113971,769,84.0,76.44
114006,770,0.0,75.81
114134,771,84.0,75.18
114190,772,42.0,75.18
114288,773,63.0,72.87
114471,774,63.0,73.29
114635,775,105.0,73.29
114786,776,126.0,74.13
114821,777,0.0,72.66
115144,778,210.0,73.71
115309,779,126.0,73.5
115482,780,126.0,74.13
115562,781,21.0,72.66
115712,782,84.0,73.29
115853,783,84.0,73.92
116002,784,42.0,73.08
116153,785,84.0,73.5
116283,786,42.0,72.87
116408,787,105.0,73.08
116589,788,42.0,72.87
116730,789,84.0,72.87
116892,790,84.0,72.66
117017,791,63.0,73.29
117150,792,42.0,73.71
117323,793,105.0,74.76
117417,794,84.0,74.97
117499,795,84.0,75.6
117539,796,21.0,74.97
117701,797,0.0,73.5
117865,798,63.0,73.5
118078,799,147.0,73.92
118235,800,84.0,74.76
118368,801,0.0,73.71
118496,802,105.0,74.34
118647,803,63.0,74.13
118714,804,21.0,73.29
118833,805,84.0,72.03
118953,806,105.0,72.66
118982,807,21.0,72.87
119040,808,0.0,72.87
119168,809,63.0,73.08
119227,810,84.0,73.5
119374,811,105.0,73.5
119539,812,84.0,73.5
119634,813,126.0,74.55
119783,814,42.0,73.92
119940,815,84.0,72.87
120059,816,126.0,73.92
120158,817,84.0,73.71
120405,818,63.0,73.71
120448,819,42.0,74.13
120608,820,168.0,74.55
120733,821,21.0,73.29
120890,822,42.0,72.66
121191,823,147.0,72.66
121313,824,84.0,73.29
121348,825,21.0,73.08
121563,826,84.0,73.71
121622,827,0.0,73.5
121752,828,147.0,74.34
121901,829,63.0,73.5
122028,830,105.0,74.13
122089,831,63.0,73.92
122250,832,105.0,74.76
122463,833,105.0,74.34
122660,834,126.0,75.18
122683,835,0.0,75.18
122743,836,84.0,76.02
122868,837,84.0,75.6
122902,838,21.0,75.39
123083,839,105.0,75.81
123205,840,84.0,76.02
123255,841,0.0,75.6
123412,842,84.0,76.02
123569,843,105.0,74.76
123731,844,63.0,74.76
