timestep,episode,reward,length,mean_reward,mean_length
50966,305,0.0,61,3.56,157.76
51080,306,5.0,114,3.6,157.57
51213,307,3.0,133,3.63,157.49
51346,308,1.0,133,3.55,155.49
51506,309,6.0,160,3.59,156.5
51663,310,4.0,157,3.6,156.45
51828,311,6.0,165,3.64,156.85
51977,312,4.0,149,3.66,157.09
52123,313,5.0,146,3.66,156.91
52320,314,7.0,197,3.69,157.47
52453,315,4.0,133,3.71,157.39
52476,316,2.0,23,3.72,156.29
52607,317,2.0,131,3.73,156.66
52694,318,3.0,87,3.73,155.98
52785,319,1.0,91,3.7,155.24
52934,320,5.0,149,3.73,155.86
53077,321,8.0,143,3.79,156.69
53308,322,4.0,231,3.8,158.07
53415,323,4.0,107,3.78,156.87
53607,324,4.0,192,3.74,156.66
53757,325,3.0,150,3.7,156.71
53890,326,4.0,133,3.71,156.31
54071,327,6.0,181,3.73,156.61
54300,328,5.0,229,3.76,158.15
54482,329,4.0,182,3.77,158.67
54631,330,2.0,149,3.75,158.43
54788,331,4.0,157,3.74,158.03
54921,332,6.0,133,3.75,157.71
55082,333,5.0,161,3.77,158.38
55138,334,1.0,56,3.75,157.79
55292,335,3.0,154,3.73,157.36
55433,336,2.0,141,3.71,157.52
55564,337,2.0,131,3.7,157.33
55652,338,4.0,88,3.69,156.94
55750,339,4.0,98,3.71,156.99
55891,340,4.0,141,3.74,158.05
55953,341,3.0,62,3.73,157.07
56067,342,4.0,114,3.75,157.65
56248,343,4.0,181,3.78,157.68
56373,344,2.0,125,3.77,156.62
56555,345,6.0,182,3.75,156.99
56736,346,2.0,181,3.73,156.51
56840,347,1.0,104,3.68,155.5
56914,348,0.0,74,3.64,154.27
57057,349,4.0,143,3.63,154.1
57198,350,4.0,141,3.64,154.1
57363,351,7.0,165,3.69,154.1
57544,352,6.0,181,3.7,150.82
57771,353,8.0,227,3.74,151.3
57944,354,4.0,173,3.74,151.38
58015,355,4.0,71,3.73,149.96
58098,356,3.0,83,3.71,148.9
58228,357,3.0,130,3.72,148.89
58316,358,3.0,88,3.69,148.12
58345,359,1.0,29,3.7,148.25
58435,360,2.0,90,3.68,146.89
58645,361,8.0,210,3.7,145.54
